



time,file,func,line,serious_error,error,warning,msg,format_exception,phase,gnss_time,date,lat,lon,alt,alt_base_press,goal_lat,goal_lon,raw_temp,raw_press,raw_hum,raw_accel_all_x,raw_accel_all_y,raw_accel_all_z,raw_accel_line_x,raw_accel_line_y,raw_accel_line_z,raw_mag_x,raw_mag_y,raw_mag_z,raw_gyro_x,raw_gyro_y,raw_gyro_z,raw_grav_x,raw_grav_y,raw_grav_z
"11211.970155408","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","32",,,,,,,,,,,,,,,"25.424893391528165",,,,,,,,,,,,,,,,,
"11211.970549161","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","33",,,,,,,,,,,,,,,,"1016.82630928938",,,,,,,,,,,,,,,,
"11211.980680952","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","54",,,,,,,,,,,,,,,,,,"0.13","-0.57","9.55",,,,,,,,,,,,
"11211.980951109","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","55",,,,,,,,,,,,,,,,,,,,,,,,,,,"-0.0022222222222222222","-0.0011111111111111111","-0.0022222222222222222",,,
"11211.981088465","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","56",,,,,,,,,,,,,,,,,,,,,,,,"-22.5","-9.5","-61.0",,,,,,
"11211.981222988","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","57",,,,,,,,,,,,,,,,,,,,,"0.13","-0.56","-0.27",,,,,,,,,
"11211.981461181","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0","0.0","9.8"
"11212.99432961","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","32",,,,,,,,,,,,,,,"25.424893391528165",,,,,,,,,,,,,,,,,
"11212.994717641","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","33",,,,,,,,,,,,,,,,"1016.8531852885201",,,,,,,,,,,,,,,,
"11213.005184683","/home/nanamori/sc27/sc27/testcode/ijochi_kikyakku/ijochi_siken.py","<module>","54",,,,,,,,,,,,,,,,,,"0.13","-0.59","9.54",,,,,,,,,,,,
